Date,Open,High,Low,Close,Adj Close,Volume
11-03-2010,500.258057,505.21109,498.772125,503.452759,456.303802,6730408
12-03-2010,502.734589,511.650055,502.239258,506.003601,458.615753,10306792
15-03-2010,506.201721,511.130005,501.793488,509.198303,461.511261,8367777
16-03-2010,511.154755,530.86792,509.668854,528.960999,479.423187,15690402
17-03-2010,532.353821,536.167664,527.896057,529.827759,480.20874,9968152
18-03-2010,531.957581,535.721863,527.054077,533.418701,483.463348,7057451
19-03-2010,534.335022,543.101929,530.050659,540.897827,490.242126,9108967
22-03-2010,526.013916,544.34021,526.013916,531.9328,482.116608,9446201
23-03-2010,533.914001,541.838928,533.418701,540.575867,489.950226,9232555
25-03-2010,542.854309,543.349609,533.641602,540.600647,489.972778,10599676
26-03-2010,543.349609,550.283875,542.433289,545.058411,494.01297,8341847
29-03-2010,546.668152,549.763794,540.377747,541.516968,490.803223,9345272
30-03-2010,542.854309,547.658752,536.415344,538.966125,488.491211,8740250
31-03-2010,541.318848,542.359009,530.620239,532.081421,482.251312,9990413
01-04-2010,533.938782,544.092529,533.443481,540.897827,490.242126,5777967
05-04-2010,543.101929,559.521301,543.101929,557.663879,505.438049,9189816
06-04-2010,558.704041,561.180542,554.840637,556.326599,504.225952,5760365
07-04-2010,557.21814,569.452148,556.277039,559.546082,507.14386,9330868
08-04-2010,561.180542,562.914124,545.578491,548.079773,496.751465,6794859
09-04-2010,548.897034,560.189941,548.897034,557.069519,504.899292,7765435
12-04-2010,567.124207,567.124207,556.054138,558.38208,506.088959,5860948
13-04-2010,558.704041,561.675903,550.432434,555.187378,503.19342,6447744
15-04-2010,557.21814,562.121643,538.421326,540.229187,489.636139,11208408
16-04-2010,537.950745,542.359009,530.545959,537.034424,486.740448,8396400
19-04-2010,534.830322,534.830322,520.565552,525.914856,476.662354,7563608
20-04-2010,529.902039,534.805603,522.224854,526.608276,477.290771,7729453
21-04-2010,529.976379,531.80896,519.153931,522.101013,473.205658,8855050
22-04-2010,520.317932,541.814148,520.095032,532.824341,482.924652,11813633
23-04-2010,534.929382,542.854309,534.929382,538.990906,488.513763,10723025
26-04-2010,534.929382,543.74585,526.756897,530.595459,480.904602,7684965
27-04-2010,526.509216,528.985718,522.546753,525.642456,476.415466,6447243
28-04-2010,522.026733,522.026733,501.248657,503.84903,456.662933,18510893
29-04-2010,507.192322,515.067688,504.7901,512.665466,464.653687,10820807
30-04-2010,515.117188,518.683411,510.164154,511.947266,464.002777,7301398
03-05-2010,508.182922,511.451935,504.27002,507.068512,459.580963,5785013
04-05-2010,507.291382,514.621887,501.991608,505.780701,458.413696,8006460
05-05-2010,500.258057,506.969421,496.939514,505.533051,458.189301,6911684
06-05-2010,505.11203,506.845612,497.286224,499.193146,452.443085,11012977
07-05-2010,483.417694,525.023315,483.417694,511.550995,463.643585,33257378
10-05-2010,520.565552,535.920044,515.117188,534.632202,487.869843,17560458
11-05-2010,539.387146,539.387146,526.682556,528.886658,482.626862,12149208
12-05-2010,532.972961,539.610046,527.029297,536.390564,489.474518,7058317
13-05-2010,526.013916,541.566467,526.013916,530.86792,484.434845,5513861
14-05-2010,528.837158,530.47168,512.640686,516.925049,471.711517,8381619
17-05-2010,512.492065,512.492065,499.762756,503.502289,459.462799,9512346
18-05-2010,505.21109,511.872955,499.168396,505.508301,461.293335,7127953
19-05-2010,503.725189,504.09668,492.878021,494.636353,451.372375,12043982
20-05-2010,495.800293,501.743958,492.209351,495.280243,451.9599,8573412
21-05-2010,490.302429,495.230713,483.467224,493.100891,449.97113,8845755
24-05-2010,504.22049,519.550171,503.452759,506.523651,462.21991,11411184
25-05-2010,507.687622,507.687622,486.760986,488.197388,445.49649,11650994
26-05-2010,492.778961,500.258057,490.84726,499.292206,455.620941,6334809
27-05-2010,500.753357,509.024963,496.097504,506.325531,462.039185,12647449
28-05-2010,510.139374,514.621887,502.486938,513.457947,468.547638,8092532
31-05-2010,510.238434,519.327271,509.545013,517.89093,472.592926,7637273
